scikit-learn
scipy
numpy

Training and evaluating...
Epoch: 1
Iter:      0, Train Loss:    8.9, Train Acc:   0.00%, Val Loss:    8.9, Val Acc:   0.01%, Time: 0:00:19 *
Iter:    100, Train Loss:    6.7, Train Acc:   6.25%, Val Loss:    7.3, Val Acc:   2.71%, Time: 0:01:05 *
Iter:    200, Train Loss:    7.4, Train Acc:   1.56%, Val Loss:    6.9, Val Acc:   7.23%, Time: 0:01:49 *
Iter:    300, Train Loss:    6.6, Train Acc:  10.94%, Val Loss:    6.3, Val Acc:  14.71%, Time: 0:02:32 *
Iter:    400, Train Loss:    5.6, Train Acc:  26.56%, Val Loss:    5.8, Val Acc:  22.85%, Time: 0:03:16 *
Iter:    500, Train Loss:    5.7, Train Acc:  26.56%, Val Loss:    5.3, Val Acc:  29.94%, Time: 0:03:59 *
Iter:    600, Train Loss:    4.0, Train Acc:  43.75%, Val Loss:    4.9, Val Acc:  36.85%, Time: 0:04:43 *
Iter:    700, Train Loss:    4.5, Train Acc:  39.06%, Val Loss:    4.6, Val Acc:  40.41%, Time: 0:05:26 *
Iter:    800, Train Loss:    3.7, Train Acc:  48.44%, Val Loss:    4.4, Val Acc:  43.29%, Time: 0:06:10 *
Iter:    900, Train Loss:    3.5, Train Acc:  53.12%, Val Loss:    4.2, Val Acc:  45.86%, Time: 0:06:53 *
Iter:   1000, Train Loss:    3.7, Train Acc:  54.69%, Val Loss:    4.0, Val Acc:  48.08%, Time: 0:07:36 *
Iter:   1100, Train Loss:    4.5, Train Acc:  37.50%, Val Loss:    3.9, Val Acc:  49.94%, Time: 0:08:19 *
Iter:   1200, Train Loss:    4.1, Train Acc:  45.31%, Val Loss:    3.7, Val Acc:  51.68%, Time: 0:09:02 *
Iter:   1300, Train Loss:    3.0, Train Acc:  56.25%, Val Loss:    3.6, Val Acc:  53.05%, Time: 0:09:46 *
Iter:   1400, Train Loss:    3.7, Train Acc:  50.00%, Val Loss:    3.5, Val Acc:  54.21%, Time: 0:10:29 *
Iter:   1500, Train Loss:    3.5, Train Acc:  48.44%, Val Loss:    3.4, Val Acc:  56.11%, Time: 0:11:13 *
Iter:   1600, Train Loss:    3.0, Train Acc:  60.94%, Val Loss:    3.3, Val Acc:  56.64%, Time: 0:11:56 *
Iter:   1700, Train Loss:    3.1, Train Acc:  56.25%, Val Loss:    3.3, Val Acc:  57.54%, Time: 0:12:40 *
Iter:   1800, Train Loss:    4.0, Train Acc:  43.75%, Val Loss:    3.2, Val Acc:  58.35%, Time: 0:13:23 *
Iter:   1900, Train Loss:    3.9, Train Acc:  50.00%, Val Loss:    3.1, Val Acc:  59.39%, Time: 0:14:05 *
Iter:   2000, Train Loss:    3.1, Train Acc:  56.25%, Val Loss:    3.0, Val Acc:  60.02%, Time: 0:14:49 *
Iter:   2100, Train Loss:    3.1, Train Acc:  59.38%, Val Loss:    2.9, Val Acc:  61.13%, Time: 0:15:32 *
Epoch: 2
Iter:   2200, Train Loss:    1.9, Train Acc:  75.00%, Val Loss:    2.8, Val Acc:  61.91%, Time: 0:16:20 *
Iter:   2300, Train Loss:    2.3, Train Acc:  64.06%, Val Loss:    2.8, Val Acc:  62.36%, Time: 0:17:03 *
Iter:   2400, Train Loss:    2.0, Train Acc:  68.75%, Val Loss:    2.7, Val Acc:  63.40%, Time: 0:17:46 *
